,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3_bt_2b,71.11295643890053,1.4458437409398264,community,2244,576,225,4,805,71.80124223602485,68.61272418920964,0.4902631098911277
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b-0.001,77.11137682245483,1.3358586964816015,community,2613,618,178,9,805,77.32919254658384,67.93047273144775,0.4453367018084017
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_8b-0.002,66.23051215492347,1.5295736772274162,community,2157,530,269,6,805,66.2111801242236,65.76051075366092,0.5051344339017694
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b-0.001,72.22422465027365,1.4338196496982356,community,2404,585,211,9,805,73.22981366459628,65.03742089161814,0.5230118175484361
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_2b-0.001,67.81069795036218,1.5039857851093634,community,2245,539,259,7,805,67.3913043478261,64.80530110936792,0.5312790301246216
SPPO-Llama-3-Instruct-8B-Iter3_gp_8b,60.73473110059603,1.557542739304627,community,1994,489,305,11,805,61.42857142857143,63.71415884880312,0.5448716829205125
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b,72.96545369884471,1.4128670885783907,community,2490,591,210,4,805,73.66459627329192,63.563074312520975,0.5115561586300862
SPPO-Llama-3-Instruct-8B-Iter3_bt_8b,55.29784028907842,1.6031832220784006,community,1832,442,352,11,805,55.590062111801245,62.81696732008126,0.4841346875732432
SPPO-Llama-3-Instruct-8B-Iter2_bt_2b,59.88603938158887,1.5676902916761073,community,2028,476,325,4,805,59.37888198757764,61.78143130790822,0.5652168856398214
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_2b-0.001,59.342979369567786,1.5917360520862285,community,2048,469,325,11,805,58.94409937888199,60.2519214892174,0.5371070635912804
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b,66.00800739658385,1.5040576472192186,community,2318,531,268,6,805,66.33540372670808,59.93361713970123,0.554595153353835
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_8b-0.002,62.78817309567793,1.5472247506427506,community,3445,500,294,11,805,62.795031055900616,59.852338452445565,0.40386152071864867
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_8b-0.002,57.18884738841069,1.608605834454669,community,2080,460,340,5,805,57.453416149068325,58.7136311102262,0.5612691293578962
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_8b-0.002,57.53825579758597,1.596756596632526,community,2126,460,335,10,805,57.7639751552795,58.24646811843871,0.5111177807304027
SPPO-Llama-3-Instruct-8B-Iter2_gp_8b,56.041604433134665,1.599045925702829,community,2020,443,353,9,805,55.590062111801245,57.90139489246992,0.6146049325352706
SPPO-Llama-3-Instruct-8B-Iter2_bt_8b,52.42575006511986,1.6145433894742085,community,1945,416,380,9,805,52.2360248447205,56.20122672579634,0.5857707126316595
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b-0.001,58.48880334052174,1.5774847617598171,community,2145,472,325,8,805,59.130434782608695,55.74269390168312,0.5564178176504758
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_2b-0.001,48.261709093388994,1.6228571385709698,community,1837,388,409,8,805,48.69565217391305,55.41973953774715,0.6461970513181385
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_8b-0.002,49.54584382604777,1.610399503001302,community,1877,392,399,14,805,49.56521739130435,54.75509771789393,0.6249523416250299
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_8b-0.002,42.56118475672448,1.5933405850709756,community,1764,334,462,9,805,42.04968944099379,51.117172307992575,0.619338297832475
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b,52.64334546121739,1.5954226881164169,community,2102,419,370,16,805,53.04347826086957,50.82484818975479,0.59980145595173
SPPO-Llama-3-Instruct-8B-Iter1_gp_8b,45.79743836347885,1.6005578661946278,community,1878,366,429,10,805,46.08695652173913,50.22310065340042,0.6387680060615528
SPPO-Llama-3-Instruct-8B-Iter1_bt_2b,44.48090986331251,1.603873754470429,community,1843,357,441,7,805,44.78260869565218,50.09481734620359,0.5958891122782568
SPPO-Llama-3-Instruct-8B-Iter1_bt_8b,40.95563823031571,1.5796754376051083,community,1802,329,466,10,805,41.49068322981366,48.24776113976824,0.6267175897674458
