,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b-0.001,68.27623391030794,1.5363434150161523,community,2613,552,253,0,805,68.57142857142857,58.45757447787855,0.7012706684163917
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_8b-0.002,59.42893498953828,1.637876120859397,community,2157,482,323,0,805,59.87577639751552,58.07411143465045,0.7433877052950029
SPPO-Llama-3-Instruct-8B-Iter3_bt_2b,60.99043778410148,1.6188975415066125,community,2244,489,316,0,805,60.74534161490684,57.37620559945377,0.7538399276128139
SPPO-Llama-3-Instruct-8B-Iter3_gp_8b,54.72660215959056,1.6586805243488736,community,1994,440,365,0,805,54.6583850931677,56.66717587353438,0.7864831732941462
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b,65.2617987831319,1.578132108674965,community,2490,525,280,0,805,65.21739130434783,55.16817700061346,0.7339754128366157
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b-0.001,62.52221879889176,1.5974266679033775,community,2404,503,302,0,805,62.48447204968944,55.00801717043353,0.7875192265408651
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_2b-0.001,58.21279077935411,1.6487150072090038,community,2245,470,335,0,805,58.38509316770186,54.23115798446528,0.7595371231810194
SPPO-Llama-3-Instruct-8B-Iter2_gp_8b,52.77299539261602,1.6724757870169638,community,2020,428,375,2,805,53.29192546583851,53.85068249160433,0.8136139059987061
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_8b-0.002,53.03227637519766,1.6695250003084543,community,2126,425,379,1,805,52.85714285714286,53.15045812556464,0.7647895703396237
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_2b-0.001,52.80007571169434,1.6682948074608246,community,2048,425,380,0,805,52.79503105590062,52.78895447011598,0.7730972504243087
SPPO-Llama-3-Instruct-8B-Iter2_bt_2b,51.77891254264209,1.6762497020311444,community,2028,416,389,0,805,51.67701863354037,52.43277103963933,0.8197308799210182
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b,58.12004681902675,1.646612655551727,community,2318,469,336,0,805,58.26086956521739,51.76994068901896,0.7548642140909592
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_8b-0.002,46.89362471706948,1.6804654029700272,community,1877,376,428,1,805,46.77018633540372,51.16105635228858,0.8268484819179871
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b-0.001,52.57310652879501,1.6652562437806766,community,2145,423,382,0,805,52.54658385093167,49.97558584229208,0.8108262511458143
SPPO-Llama-3-Instruct-8B-Iter1_gp_8b,45.41534053389986,1.6714011578119952,community,1878,367,437,1,805,45.65217391304348,48.98150935288286,0.8405970438994461
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_2b-0.001,43.780318886532775,1.6644118063681097,community,1837,347,457,1,805,43.16770186335403,48.343594491468366,0.8193972873426791
SPPO-Llama-3-Instruct-8B-Iter1_bt_2b,43.00462916886957,1.6683997791149237,community,1843,348,456,1,805,43.29192546583851,47.888078255115374,0.8360157687467054
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b,48.41261966039599,1.680667423273404,community,2102,385,419,1,805,47.88819875776398,46.62526531184487,0.8241830751321757
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_8b-0.002,56.588728630096256,1.670450528645964,community,3445,456,348,1,805,56.70807453416149,54.53745457968188,0.5956050567886587
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_8b-0.002,52.89641705187419,1.6637605762889385,community,2080,422,382,1,805,52.48447204968944,53.55454577378399,0.7910455841008345
SPPO-Llama-3-Instruct-8B-Iter2_bt_8b,50.23665761613935,1.6725147195153482,community,1945,405,399,1,805,50.37267080745341,52.43102784506182,0.787955033439248
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_8b-0.002,43.35927245126853,1.6565677192768014,community,1764,349,455,1,805,43.41614906832298,50.70189261992771,0.8201188720467051
SPPO-Llama-3-Instruct-8B-Iter1_bt_8b,41.72824305900136,1.653129487583593,community,1802,338,466,1,805,42.04968944099379,47.789448714256935,0.8546804165815082
SPPO-Llama-3-Instruct-8B-Iter3_bt_8b,50.7559738462014,1.6722297469859462,community,1832,413,391,1,805,51.3664596273292,56.24972082464414,0.8065178785018728
