,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3_bt_8b,50.7559738462014,1.6722297469859462,community,1832,413,391,1,805,51.3664596273292,56.24972082464414,0.8065178785018728
SPPO-Llama-3-Instruct-8B-Iter3_gp_8b_tau01,57.67007002129827,1.6365288823871362,community,2484,462,342,1,805,57.453416149068325,55.54866670091213,0.7399876032549363
SPPO-Llama-3-Instruct-8B-Iter3_bt_2b,59.53062121850845,1.629230198270112,community,2241,483,322,0,805,60.0,54.51778696944436,0.7213840314488906
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_2b-0.02,56.19778623385048,1.665906966326893,community,2171,454,351,0,805,56.39751552795032,53.72942312063629,0.8391050767043285
SPPO-Llama-3-Instruct-8B-Iter2_gp_8b_tau01,52.548569410922205,1.6825752721643563,community,2053,419,385,1,805,52.11180124223602,52.58583923849003,0.8271229860839526
SPPO-Llama-3-Instruct-8B-Iter2_bt_8b,50.23665761613935,1.6725147195153482,community,1945,405,399,1,805,50.37267080745341,52.43102784506182,0.787955033439248
SPPO-Llama-3-Instruct-8B-Iter2_bt_2b,52.80931750480651,1.6567334814887231,community,2102,423,382,0,805,52.54658385093167,51.43326422800486,0.7543142747492518
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b_tau01-0.001,52.63857344682692,1.656867472215785,community,2088,427,378,0,805,53.04347826086957,51.36066606605709,0.7980266800366292
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b_tau01-0.001,61.629673511916735,1.6172277356401976,community,2509,496,309,0,805,61.61490683229813,51.32286136918586,0.6985370283485116
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_2b-0.02,51.2108727772712,1.671170577938158,community,2048,414,391,0,805,51.42857142857142,50.99146962711123,0.766651300670167
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b_tau01-0.001,56.9285095903877,1.6378945386277557,community,2329,457,348,0,805,56.77018633540373,50.96810208633272,0.775075617291709
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_8b_tau01-0.001,45.071522844486175,1.6674008186193234,community,1788,364,441,0,805,45.21739130434783,50.89940673140039,0.7693538698846977
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b_tau01,57.25379624335998,1.643703834415678,community,2403,463,342,0,805,57.51552795031056,48.68149549639661,0.7788266715010606
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b_tau01,61.01060683560846,1.6175702432498469,community,2570,493,312,0,805,61.24223602484472,48.18024966647484,0.7770406254122623
SPPO-Llama-3-Instruct-8B-Iter1_bt_8b,41.72824305900136,1.653129487583593,community,1802,338,466,1,805,42.04968944099379,47.789448714256935,0.8546804165815082
SPPO-Llama-3-Instruct-8B-Iter1_gp_8b_tau01,44.27257177209106,1.6652785839328506,community,1908,354,449,2,805,44.099378881987576,47.78190983125987,0.8451326653189077
SPPO-Llama-3-Instruct-8B-Iter1_bt_2b,45.22013722385682,1.6662509155566922,community,1944,365,439,1,805,45.40372670807453,47.53606120560856,0.8112938607200186
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b-0.02,58.56892540597896,1.632792077329993,community,2515,467,338,0,805,58.01242236024845,46.32498663453852,0.7698366503574757
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b_tau01,49.30851382135339,1.6796264296110173,community,2166,397,407,1,805,49.37888198757764,46.073009418041806,0.8281601060062607
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b,52.98308005558889,1.6580116182736937,community,2316,427,378,0,805,53.04347826086957,45.50438488145785,0.8309840459550374
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b,55.84876274801083,1.638095695003364,community,2434,454,351,0,805,56.39751552795032,45.07819466799198,0.7797681560458523
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b-0.02,54.258192010754094,1.6660085731142944,community,2362,434,370,1,805,53.97515527950311,44.77873359357141,0.7651037403929594
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b-0.02,47.38575893002351,1.668410712304487,community,2143,377,426,2,805,46.95652173913044,44.4145417441342,0.8535169153196371
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b,45.83266533491926,1.6614738500594934,community,2107,370,434,1,805,46.024844720496894,43.55751672784185,0.8228200123755071
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_2b-0.02,41.734801517929085,1.6519458532347264,community,1946,331,474,0,805,41.11801242236025,43.21633186070004,0.8307039851451913
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_8b_tau01-0.001,20.757343293472022,1.376567373474597,community,12127,170,635,0,805,21.11801242236025,29.142838217750533,0.5105006310750376
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_8b_tau01-0.001,12.232562112602457,1.1196307103717862,community,12045,98,707,0,805,12.173913043478262,20.86983749212329,0.4895655729388815
