,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3_RM8B-table-custom,64.8848932691441,1.5749237014631972,community,3020,527,278,0,805,65.46583850931677,57.465433768065466,0.7316548881388004
SPPO-Llama-3-Instruct-8B-Iter3-custom,61.87570045104963,1.583099190492932,community,2286,502,302,1,805,62.422360248447205,57.3442073562524,0.7781989977517633
SPPO-Llama-3-Instruct-8B-Iter3-table-custom,62.6421818472105,1.5769922832837433,community,2328,506,298,1,805,62.91925465838509,56.75169909787879,0.7651334458672083
SPPO-Llama-3-Instruct-8B-Iter3-score-table-0.001,61.6513003141869,1.6162520826504576,community,2795,495,310,0,805,61.49068322981367,56.15386893708016,0.6557945323840431
SPPO-Llama-3-Instruct-8B-Iter3-score-table-0.01,64.8954924895333,1.5898792757073934,community,2556,523,282,0,805,64.96894409937887,56.10642795240993,0.7372156428029344
SPPO-Llama-3-Instruct-8B-Iter1-score-table-0.001,54.93161110082711,1.6558158521795552,community,2396,442,363,0,805,54.90683229813664,53.81109508076916,0.7192273941434951
SPPO-Llama-3-Instruct-8B-Iter2-score-table-0.001,58.73886241125702,1.6400529458502715,community,2696,469,335,1,805,58.32298136645962,53.44106205744674,0.6360819520285065
SPPO-Llama-3-Instruct-8B-Iter2-table-custom,56.37494678954557,1.63206504466439,community,2215,457,348,0,805,56.77018633540373,52.184013787318975,0.7776003272538754
SPPO-Llama-3-Instruct-8B-Iter2-custom,55.446247278419136,1.6421135225889223,community,2181,450,355,0,805,55.90062111801242,52.09321780732612,0.8374260150561289
SPPO-Llama-3-Instruct-8B-Iter2_RM8B-table-custom,61.45038219253818,1.5950382868098891,community,2500,498,307,0,805,61.86335403726708,51.64584097451714,0.7957524280396805
SPPO-Llama-3-Instruct-8B-Iter3-score-table-0.1,55.45723708435851,1.6588535616168174,community,2215,448,356,1,805,55.714285714285715,51.32744322774811,0.8113188335491937
SPPO-Llama-3-Instruct-8B-Iter2-score-table-0.01,58.06177460773565,1.6490772025724565,community,2356,465,339,1,805,57.826086956521735,50.486100113291165,0.7886311362370357
SPPO-Llama-3-Instruct-8B-PairRM-given,50.775636317606974,1.648375239549709,community,2066,407,397,1,805,50.621118012422365,50.210351095606896,0.8446823357848314
gpt4_1106_preview,50.0,0.0,community,2049,0,0,805,805,50.0,50.0,0.0
SPPO-Llama-3-Instruct-8B-PairRM,51.99300899894344,1.6385595354889884,community,2148,416,388,1,805,51.73913043478261,49.20261534459301,0.7771484622535049
SPPO-Llama-3-Instruct-8B-Iter1-score-table-0.01,51.28402526665828,1.653726306928686,community,2115,413,392,0,805,51.30434782608696,48.40338437305897,0.786769448663067
SPPO-Llama-3-Instruct-8B-Iter2-score-table-0.1,50.61690820201914,1.6708888878868753,community,2160,404,400,1,805,50.24844720496895,47.624665901145576,0.7954524066088722
SPPO-Llama-3-Instruct-8B-Iter1_RM8B-table-custom,52.64212570486703,1.6370531476633643,community,2235,420,383,2,805,52.298136645962735,47.08742064834298,0.8385525654180351
SPPO-Llama-3-Instruct-8B-Iter1-table-custom,48.05497874515861,1.647300439487387,community,2091,390,414,1,805,48.50931677018633,46.40467496922452,0.8153278617457722
SPPO-Llama-3-Instruct-8B-Iter1-custom,47.620867111028254,1.6404749032270616,community,2077,379,426,0,805,47.08074534161491,46.00752787993897,0.8090426460335306
SPPO-Llama-3-Instruct-8B-Iter1-score-table-0.1,46.66427254657828,1.655507323879808,community,2121,374,430,1,805,46.52173913043478,43.64951962979436,0.840869544798097
Meta-Llama-3-8B-Instruct,32.1414290054742,1.5366658746825297,community,1899,258,545,2,805,32.17391304347826,33.88899492307253,0.8039057387701862
Meta-Llama-3-8B-Instruct-custom,30.19962998804216,1.4640279363816766,community,1959,239,560,1,800,29.9375,30.24760121497692,0.7923342968990323
