,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3_bt_2b,42.978204253602485,1.4271596621074696,community,2244,335,470,0,805,41.61490683229814,38.86411279075649,0.8364774331589844
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_2b-0.001,42.80369198469566,1.440237423093151,community,2245,346,459,0,805,42.98136645962733,38.785029050841864,0.8151389348297847
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b-0.001,48.30010422859675,1.5790941799269986,community,2613,320,357,0,677,47.26735598227474,38.5138326538069,0.794891085499882
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_2b-0.001,38.89408099386044,1.4367081731877962,community,2048,305,500,0,805,37.88819875776397,37.871454580222206,0.8570132515876958
SPPO-Llama-3-Instruct-8B-Iter2_bt_2b,37.88301346529192,1.4365187239854005,community,2028,295,510,0,805,36.64596273291926,37.38222997399176,0.908163695348454
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_2b-0.001,33.169555697580435,1.4124547807943724,community,1837,255,521,1,777,32.88288288288289,36.27686599590975,0.8808258131266878
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b-0.001,44.47193993910559,1.4537986574212212,community,2404,347,458,0,805,43.1055900621118,36.04339581814225,0.785166742978913
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b,45.44098127183851,1.4552017482034645,community,2490,362,443,0,805,44.96894409937888,35.30471134991328,0.8108797072336295
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b-0.001,38.10139093562733,1.406343593998036,community,2145,293,512,0,805,36.39751552795031,35.2272064979946,0.8731531175720418
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b,41.4034802132795,1.4260526716704591,community,2318,327,478,0,805,40.62111801242236,35.15522827381581,0.8358598802188523
SPPO-Llama-3-Instruct-8B-Iter1_bt_2b,30.877213934322985,1.3630304985909685,community,1843,244,560,1,805,30.372670807453417,33.71419948424758,0.8618340196663253
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b,35.1232389676149,1.3970538438757638,community,2102,278,526,1,805,34.59627329192546,32.64244823477977,0.8347952712245763
