,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
SPPO-Llama-3-Instruct-8B-Iter3_bt_2b,42.978204253602485,1.4271596621074696,community,2244,335,470,0,805,41.61490683229814,38.86411279075649,0.8364774331589844
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_2b-0.001,42.80369198469566,1.440237423093151,community,2245,346,459,0,805,42.98136645962733,38.785029050841864,0.8151389348297847
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_2b-0.001,48.30010422859675,1.5790941799269986,community,2613,320,357,0,677,47.26735598227474,38.5138326538069,0.794891085499882
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_2b-0.001,38.89408099386044,1.4367081731877962,community,2048,305,500,0,805,37.88819875776397,37.871454580222206,0.8570132515876958
SPPO-Llama-3-Instruct-8B-Iter2_bt_2b,37.88301346529192,1.4365187239854005,community,2028,295,510,0,805,36.64596273291926,37.38222997399176,0.908163695348454
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_2b-0.001,33.169555697580435,1.4124547807943724,community,1837,255,521,1,777,32.88288288288289,36.27686599590975,0.8808258131266878
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_2b-0.001,44.47193993910559,1.4537986574212212,community,2404,347,458,0,805,43.1055900621118,36.04339581814225,0.785166742978913
SPPO-Llama-3-Instruct-8B-Iter3_gp_2b,45.44098127183851,1.4552017482034645,community,2490,362,443,0,805,44.96894409937888,35.30471134991328,0.8108797072336295
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_2b-0.001,38.10139093562733,1.406343593998036,community,2145,293,512,0,805,36.39751552795031,35.2272064979946,0.8731531175720418
SPPO-Llama-3-Instruct-8B-Iter2_gp_2b,41.4034802132795,1.4260526716704591,community,2318,327,478,0,805,40.62111801242236,35.15522827381581,0.8358598802188523
SPPO-Llama-3-Instruct-8B-Iter1_bt_2b,30.877213934322985,1.3630304985909685,community,1843,244,560,1,805,30.372670807453417,33.71419948424758,0.8618340196663253
SPPO-Llama-3-Instruct-8B-Iter1_gp_2b,35.1232389676149,1.3970538438757638,community,2102,278,526,1,805,34.59627329192546,32.64244823477977,0.8347952712245763
SPPO-Llama-3-Instruct-8B-Iter3-score_bt_8b-0.002,43.32929739595239,1.4701689595482343,community,3445,353,451,1,805,43.913043478260875,42.16462813385482,0.7128970971361862
SPPO-Llama-3-Instruct-8B-Iter2-score_bt_8b-0.002,41.72830888244833,1.4395881798030372,community,2080,330,474,1,805,41.05590062111801,41.47613769451339,0.8644669381080959
SPPO-Llama-3-Instruct-8B-Iter3-score_gp_8b-0.002,43.38276246111801,1.4466903467115697,community,2157,341,464,0,805,42.36024844720497,41.19200696388627,0.8282885038830519
SPPO-Llama-3-Instruct-8B-Iter3_bt_8b,37.09198303880753,1.4195106235725188,community,1832,289,515,1,805,35.962732919254655,40.55402505920949,0.8452069418422186
SPPO-Llama-3-Instruct-8B-Iter3_gp_8b,39.37526167729192,1.4491721176500405,community,1994,312,493,0,805,38.75776397515528,39.71873530725076,0.8775268588256032
SPPO-Llama-3-Instruct-8B-Iter2-score_gp_8b-0.002,39.94046072757765,1.4343359304846208,community,2126,318,486,1,805,39.56521739130434,39.06902368947576,0.8132321651972461
SPPO-Llama-3-Instruct-8B-Iter2_bt_8b,37.821366600578266,1.4233547419542234,community,1945,298,506,1,805,37.08074534161491,38.83250772836106,0.8846951339320933
SPPO-Llama-3-Instruct-8B-Iter1-score_gp_8b-0.002,35.174740628658384,1.4071736180690848,community,1877,286,518,1,805,35.59006211180124,37.452490576468186,0.8829085836882078
SPPO-Llama-3-Instruct-8B-Iter2_gp_8b,37.60123806730435,1.4230301714530684,community,2020,298,505,2,805,37.142857142857146,37.34828757789644,0.8776254817504192
SPPO-Llama-3-Instruct-8B-Iter1-score_bt_8b-0.002,31.70598947005582,1.3843406562756784,community,1764,244,560,1,805,30.372670807453417,35.96303008897658,0.9004436811835856
SPPO-Llama-3-Instruct-8B-Iter1_gp_8b,31.4942698019403,1.3770754881009726,community,1878,243,560,1,804,30.286069651741293,33.393048649061825,0.9001953191972831
SPPO-Llama-3-Instruct-8B-Iter1_bt_8b,29.902243792438988,1.3621580552904051,community,1802,232,572,1,805,28.88198757763975,33.378084614981255,0.9147129682816464
